
======================================================
CATEGORIA XTREAM: ABERTOS (Total: 64 canais)
======================================================
  • Nome na API: 'Tv Tem Sorocaba' | Normalizado: 'TV TEM SOROCABA' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Tem Sorocaba' | Normalizado: 'TV TEM SOROCABA' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Tem Sorocaba' | Normalizado: 'TV TEM SOROCABA' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Tem Taubate' | Normalizado: 'TV TEM TAUBATE' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Tem Taubate' | Normalizado: 'TV TEM TAUBATE' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Tem Taubate' | Normalizado: 'TV TEM TAUBATE' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Tribuna Globo Santos' | Normalizado: 'TV TRIBUNA GLOBO SANTOS' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Tribuna Globo Santos' | Normalizado: 'TV TRIBUNA GLOBO SANTOS' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Tribuna Santos' | Normalizado: 'TV TRIBUNA SANTOS' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Tribuna Santos' | Normalizado: 'TV TRIBUNA SANTOS' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Tribuna Santos' | Normalizado: 'TV TRIBUNA SANTOS' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Vanguarda Dos Campos' | Normalizado: 'TV VANGUARDA DOS CAMPOS' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Vanguarda Sao Jose Dos Campos' | Normalizado: 'TV VANGUARDA SAO JOSE DOS CAMPOS' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
  • Nome na API: 'Tv Vanguarda Sao Jose Dos Campos' | Normalizado: 'TV VANGUARDA SAO JOSE DOS CAMPOS' | EPG ID da lista: 'br#globo-s-o-paulo-hd'
