
======================================================
CATEGORIA XTREAM: ABERTOS (Total: 64 canais)
======================================================
  • Nome na API: 'Tv Camara' | Normalizado: 'TV CAMARA' | EPG ID da lista: 'a.e.br'
  • Nome na API: 'Tv Cultura' | Normalizado: 'TV CULTURA' | EPG ID da lista: 'cultura.br'
  • Nome na API: 'Tv Cultura' | Normalizado: 'TV CULTURA' | EPG ID da lista: 'cultura.br'
  • Nome na API: 'Tv Cultura' | Normalizado: 'TV CULTURA' | EPG ID da lista: 'cultura.br'
  • Nome na API: 'Tv Cultura' | Normalizado: 'TV CULTURA' | EPG ID da lista: 'cultura.br'
  • Nome na API: 'Tv Cultura Do Pará' | Normalizado: 'TV CULTURA DO PARA' | EPG ID da lista: ''
  • Nome na API: 'Tv Diario' | Normalizado: 'TV DIARIO' | EPG ID da lista: 'tv.diario.br'
  • Nome na API: 'Tv Diario' | Normalizado: 'TV DIARIO' | EPG ID da lista: 'tv.diario.br'
  • Nome na API: 'Tv Diario' | Normalizado: 'TV DIARIO' | EPG ID da lista: 'tv.diario.br'
  • Nome na API: 'Tv Escola' | Normalizado: 'TV ESCOLA' | EPG ID da lista: 'a.e.br'
  • Nome na API: 'Tv Ideal' | Normalizado: 'TV IDEAL' | EPG ID da lista: 'ideal.br'
  • Nome na API: 'Tv Justica' | Normalizado: 'TV JUSTICA' | EPG ID da lista: 'tvjustica.br'
  • Nome na API: 'Tv Miramar Tv Cultura' | Normalizado: 'TV MIRAMAR TV CULTURA' | EPG ID da lista: 'tv.mirante.sao.luis.br'
  • Nome na API: 'Tv Pampa RS' | Normalizado: 'TV PAMPA RS' | EPG ID da lista: 'globo.br'
  • Nome na API: 'Tv Ponta Verde' | Normalizado: 'TV PONTA VERDE' | EPG ID da lista: ''
  • Nome na API: 'Tv Ra Tim Bum' | Normalizado: 'TV RA TIM BUM' | EPG ID da lista: 'tv.ra.tim.bum.br'
  • Nome na API: 'Tv Ra Tim Bum' | Normalizado: 'TV RA TIM BUM' | EPG ID da lista: 'ra.tim.bum.br'
  • Nome na API: 'Tv Ra Tim Bum' | Normalizado: 'TV RA TIM BUM' | EPG ID da lista: 'ra.tim.bum.br'
  • Nome na API: 'Tv Ra Tim Bum' | Normalizado: 'TV RA TIM BUM' | EPG ID da lista: 'TV Rá Tim Bum'
  • Nome na API: 'Tv Senado' | Normalizado: 'TV SENADO' | EPG ID da lista: 'tv.senado.br'
  • Nome na API: 'Tv-tvchd-13-1' | Normalizado: 'TV TVCHD 13 1' | EPG ID da lista: ''
  • Nome na API: 'Tve' | Normalizado: 'TVE' | EPG ID da lista: 'a.e.br'
  • Nome na API: 'Tve Bahia' | Normalizado: 'TVE BAHIA' | EPG ID da lista: 'tve.bahia.br'

======================================================
CATEGORIA XTREAM: SPORTS (Total: 68 canais)
======================================================
  • Nome na API: 'Band Sports' | Normalizado: 'BAND SPORTS' | EPG ID da lista: 'BandSports.br@SD'
  • Nome na API: 'Band Sports' | Normalizado: 'BAND SPORTS' | EPG ID da lista: 'BandSports.br@SD'
  • Nome na API: 'Band Sports' | Normalizado: 'BAND SPORTS' | EPG ID da lista: 'BandSports.br@SD'
  • Nome na API: 'Band Sports' | Normalizado: 'BAND SPORTS' | EPG ID da lista: 'BandSports.br@SD'
  • Nome na API: 'Canal Goat' | Normalizado: 'CANAL GOAT' | EPG ID da lista: ''
  • Nome na API: 'Canal Goat 02' | Normalizado: 'CANAL GOAT 02' | EPG ID da lista: ''
  • Nome na API: 'Canal Goat 03' | Normalizado: 'CANAL GOAT 03' | EPG ID da lista: ''
  • Nome na API: 'Combate' | Normalizado: 'COMBATE' | EPG ID da lista: 'br#combate'
  • Nome na API: 'Combate' | Normalizado: 'COMBATE' | EPG ID da lista: 'br#combate'
  • Nome na API: 'Combate' | Normalizado: 'COMBATE' | EPG ID da lista: 'br#combate'
  • Nome na API: 'Combate' | Normalizado: 'COMBATE' | EPG ID da lista: 'br#combate'
  • Nome na API: 'Combate' | Normalizado: 'COMBATE' | EPG ID da lista: 'br#combate'
  • Nome na API: 'Dazn 01' | Normalizado: 'DAZN 01' | EPG ID da lista: 'DAZN1HD'
  • Nome na API: 'Dazn 02' | Normalizado: 'DAZN 02' | EPG ID da lista: 'DAZN1HD'
  • Nome na API: 'Dazn 03' | Normalizado: 'DAZN 03' | EPG ID da lista: 'DAZN1HD'
  • Nome na API: 'Dazn 04' | Normalizado: 'DAZN 04' | EPG ID da lista: 'DAZN1HD'
  • Nome na API: 'ESPN' | Normalizado: 'ESPN' | EPG ID da lista: 'ESPN.br@SD'
  • Nome na API: 'ESPN' | Normalizado: 'ESPN' | EPG ID da lista: 'ESPN.br@SD'
  • Nome na API: 'ESPN' | Normalizado: 'ESPN' | EPG ID da lista: 'ESPN.br@SD'
  • Nome na API: 'ESPN' | Normalizado: 'ESPN' | EPG ID da lista: 'ESPN.br@SD'
  • Nome na API: 'ESPN 2' | Normalizado: 'ESPN 2' | EPG ID da lista: 'epgpw_418722'
  • Nome na API: 'ESPN 2' | Normalizado: 'ESPN 2' | EPG ID da lista: 'epgpw_418722'
  • Nome na API: 'ESPN 2' | Normalizado: 'ESPN 2' | EPG ID da lista: 'epgpw_418722'
  • Nome na API: 'ESPN 2' | Normalizado: 'ESPN 2' | EPG ID da lista: 'epgpw_418722'
  • Nome na API: 'ESPN 3' | Normalizado: 'ESPN 3' | EPG ID da lista: 'epgpw_417186'
  • Nome na API: 'ESPN 3' | Normalizado: 'ESPN 3' | EPG ID da lista: 'epgpw_417186'
  • Nome na API: 'ESPN 3' | Normalizado: 'ESPN 3' | EPG ID da lista: 'epgpw_417186'
  • Nome na API: 'ESPN 3' | Normalizado: 'ESPN 3' | EPG ID da lista: 'epgpw_417186'
  • Nome na API: 'ESPN 4' | Normalizado: 'ESPN 4' | EPG ID da lista: 'epgpw_425978'
  • Nome na API: 'ESPN 4' | Normalizado: 'ESPN 4' | EPG ID da lista: 'epgpw_425978'
  • Nome na API: 'ESPN 4' | Normalizado: 'ESPN 4' | EPG ID da lista: 'epgpw_425978'
  • Nome na API: 'ESPN 4' | Normalizado: 'ESPN 4' | EPG ID da lista: 'epgpw_425978'
  • Nome na API: 'ESPN 4' | Normalizado: 'ESPN 4' | EPG ID da lista: 'epgpw_425978'
  • Nome na API: 'ESPN Extra' | Normalizado: 'ESPN EXTRA' | EPG ID da lista: 'br#espn-1'
  • Nome na API: 'ESPN Extra' | Normalizado: 'ESPN EXTRA' | EPG ID da lista: 'br#espn-1'
  • Nome na API: 'ESPN Extra' | Normalizado: 'ESPN EXTRA' | EPG ID da lista: 'br#espn-1'
  • Nome na API: 'ESPN Extra' | Normalizado: 'ESPN EXTRA' | EPG ID da lista: 'br#espn-1'
  • Nome na API: 'Estadio TNT Sports' | Normalizado: 'ESTADIO TNT SPORTS' | EPG ID da lista: 'TNTSPOA'
  • Nome na API: 'Estadio TNT Sports 1' | Normalizado: 'ESTADIO TNT SPORTS 1' | EPG ID da lista: 'TNTSPOA'
  • Nome na API: 'Estadio TNT Sports 4' | Normalizado: 'ESTADIO TNT SPORTS 4' | EPG ID da lista: 'TNTSPOR'
  • Nome na API: 'Fox Sports 2' | Normalizado: 'FOX SPORTS 2' | EPG ID da lista: 'FoxSports2.br@SD'
  • Nome na API: 'Fox Sports 2' | Normalizado: 'FOX SPORTS 2' | EPG ID da lista: 'FoxSports2.br@SD'
  • Nome na API: 'Fox Sports 2' | Normalizado: 'FOX SPORTS 2' | EPG ID da lista: 'FoxSports2.br@SD'
  • Nome na API: 'Fox Sports 2' | Normalizado: 'FOX SPORTS 2' | EPG ID da lista: 'FoxSports2.br@SD'
  • Nome na API: 'Fox Sports 2' | Normalizado: 'FOX SPORTS 2' | EPG ID da lista: 'FoxSports2.br@SD'
  • Nome na API: 'Pulistao' | Normalizado: 'PULISTAO' | EPG ID da lista: 'a.e.br'
  • Nome na API: 'Rai Internacional' | Normalizado: 'RAI INTERNACIONAL' | EPG ID da lista: 'epgpw_426135'
  • Nome na API: 'SporTV' | Normalizado: 'SPORTV' | EPG ID da lista: 'SporTV.br@SD'
  • Nome na API: 'SporTV' | Normalizado: 'SPORTV' | EPG ID da lista: 'SporTV.br@SD'
  • Nome na API: 'SporTV' | Normalizado: 'SPORTV' | EPG ID da lista: 'SporTV.br@SD'
  • Nome na API: 'SporTV' | Normalizado: 'SPORTV' | EPG ID da lista: 'SporTV.br@SD'
  • Nome na API: 'SporTV' | Normalizado: 'SPORTV' | EPG ID da lista: 'SporTV.br@SD'
  • Nome na API: 'SporTV 2' | Normalizado: 'SPORTV 2' | EPG ID da lista: 'SporTV2.br@SD'
  • Nome na API: 'SporTV 2' | Normalizado: 'SPORTV 2' | EPG ID da lista: 'SporTV2.br@SD'
  • Nome na API: 'SporTV 2' | Normalizado: 'SPORTV 2' | EPG ID da lista: 'SporTV2.br@SD'
  • Nome na API: 'SporTV 2' | Normalizado: 'SPORTV 2' | EPG ID da lista: 'SporTV2.br@SD'
  • Nome na API: 'SporTV 2' | Normalizado: 'SPORTV 2' | EPG ID da lista: 'SporTV2.br@SD'
  • Nome na API: 'SporTV 3' | Normalizado: 'SPORTV 3' | EPG ID da lista: 'SporTV3.br@SD'
  • Nome na API: 'SporTV 3' | Normalizado: 'SPORTV 3' | EPG ID da lista: 'SporTV3.br@SD'
  • Nome na API: 'SporTV 3' | Normalizado: 'SPORTV 3' | EPG ID da lista: 'SporTV3.br@SD'
  • Nome na API: 'SporTV 3' | Normalizado: 'SPORTV 3' | EPG ID da lista: 'SporTV3.br@SD'
  • Nome na API: 'SporTV 4' | Normalizado: 'SPORTV 4' | EPG ID da lista: 'SporTV.br@SD'
  • Nome na API: 'SporTV 4k¹' | Normalizado: 'SPORTV 4K1' | EPG ID da lista: 'SporTV.br@SD'
  • Nome na API: 'SporTV Fhd¹' | Normalizado: 'SPORTV FHD1' | EPG ID da lista: 'SporTV.br@SD'
  • Nome na API: 'SporTV Hd¹' | Normalizado: 'SPORTV HD1' | EPG ID da lista: 'SporTV.br@SD'
  • Nome na API: 'Ufc Fight Pass' | Normalizado: 'UFC FIGHT PASS' | EPG ID da lista: '5STAP1'
  • Nome na API: 'Ufc Fight Pass' | Normalizado: 'UFC FIGHT PASS' | EPG ID da lista: 'BIGBRO'
  • Nome na API: 'Ufc Fight Pass' | Normalizado: 'UFC FIGHT PASS' | EPG ID da lista: ''

======================================================
CATEGORIA XTREAM: FILMES E SERIES (Total: 66 canais)
======================================================
  • Nome na API: 'A&e' | Normalizado: 'A E' | EPG ID da lista: 'AELatinAmerica.us@Brazil'
  • Nome na API: 'A&e' | Normalizado: 'A E' | EPG ID da lista: 'AELatinAmerica.us@Brazil'
  • Nome na API: 'A&e' | Normalizado: 'A E' | EPG ID da lista: 'AELatinAmerica.us@Brazil'
  • Nome na API: 'A&e' | Normalizado: 'A E' | EPG ID da lista: 'AELatinAmerica.us@Brazil'
  • Nome na API: 'AMC' | Normalizado: 'AMC' | EPG ID da lista: 'AMCLatinAmerica.us@Brazil'
  • Nome na API: 'AMC' | Normalizado: 'AMC' | EPG ID da lista: 'AMCLatinAmerica.us@Brazil'
  • Nome na API: 'AMC' | Normalizado: 'AMC' | EPG ID da lista: 'AMCLatinAmerica.us@Brazil'
  • Nome na API: 'AMC' | Normalizado: 'AMC' | EPG ID da lista: 'AMCLatinAmerica.us@Brazil'
  • Nome na API: 'AXN' | Normalizado: 'AXN' | EPG ID da lista: 'AXN.br@SD'
  • Nome na API: 'AXN' | Normalizado: 'AXN' | EPG ID da lista: 'AXN.br@SD'
  • Nome na API: 'AXN' | Normalizado: 'AXN' | EPG ID da lista: 'AXN.br@SD'
  • Nome na API: 'AXN' | Normalizado: 'AXN' | EPG ID da lista: 'AXN.br@SD'
  • Nome na API: 'AXN' | Normalizado: 'AXN' | EPG ID da lista: 'AXN.br@SD'
  • Nome na API: 'Cinemax' | Normalizado: 'CINEMAX' | EPG ID da lista: 'Cinemax.br@SD'
  • Nome na API: 'Cinemax' | Normalizado: 'CINEMAX' | EPG ID da lista: 'Cinemax.br@SD'
  • Nome na API: 'Cinemax' | Normalizado: 'CINEMAX' | EPG ID da lista: 'Cinemax.br@SD'
  • Nome na API: 'Cinemax' | Normalizado: 'CINEMAX' | EPG ID da lista: 'Cinemax.br@SD'
  • Nome na API: 'Film & Art' | Normalizado: 'FILM ART' | EPG ID da lista: 'FilmArts.ar@Brazil'
  • Nome na API: 'Film & Arts' | Normalizado: 'FILM ARTS' | EPG ID da lista: 'FilmArts.ar@Brazil'
  • Nome na API: 'Megapix' | Normalizado: 'MEGAPIX' | EPG ID da lista: 'Megapix.br@SD'
  • Nome na API: 'Megapix' | Normalizado: 'MEGAPIX' | EPG ID da lista: 'Megapix.br@SD'
  • Nome na API: 'Megapix' | Normalizado: 'MEGAPIX' | EPG ID da lista: 'Megapix.br@SD'
  • Nome na API: 'Megapix' | Normalizado: 'MEGAPIX' | EPG ID da lista: 'Megapix.br@SD'
  • Nome na API: 'Megapix' | Normalizado: 'MEGAPIX' | EPG ID da lista: 'Megapix.br@SD'
  • Nome na API: 'Paramount' | Normalizado: 'PARAMOUNT' | EPG ID da lista: 'br#paramount-brasil-hd'
  • Nome na API: 'Paramount' | Normalizado: 'PARAMOUNT' | EPG ID da lista: 'br#paramount-brasil-hd'
  • Nome na API: 'Paramount' | Normalizado: 'PARAMOUNT' | EPG ID da lista: 'br#paramount-brasil-hd'
  • Nome na API: 'Paramount' | Normalizado: 'PARAMOUNT' | EPG ID da lista: 'br#paramount-brasil-hd'
  • Nome na API: 'Sony' | Normalizado: 'SONY' | EPG ID da lista: 'SonyChannel.br@SD'
  • Nome na API: 'Sony' | Normalizado: 'SONY' | EPG ID da lista: 'SonyChannel.br@SD'
  • Nome na API: 'Sony' | Normalizado: 'SONY' | EPG ID da lista: 'SonyChannel.br@SD'
  • Nome na API: 'Sony' | Normalizado: 'SONY' | EPG ID da lista: 'SonyChannel.br@SD'
  • Nome na API: 'Space' | Normalizado: 'SPACE' | EPG ID da lista: 'Space.ar@Brazil'
  • Nome na API: 'Space' | Normalizado: 'SPACE' | EPG ID da lista: 'Space.ar@Brazil'
  • Nome na API: 'Space' | Normalizado: 'SPACE' | EPG ID da lista: 'Space.ar@Brazil'
  • Nome na API: 'Space' | Normalizado: 'SPACE' | EPG ID da lista: 'Space.ar@Brazil'
  • Nome na API: 'Space' | Normalizado: 'SPACE' | EPG ID da lista: 'Space.ar@Brazil'
  • Nome na API: 'Studio Universal' | Normalizado: 'STUDIO UNIVERSAL' | EPG ID da lista: 'StudioUniversalLatinAmerica.us@Brazil'
  • Nome na API: 'Studio Universal' | Normalizado: 'STUDIO UNIVERSAL' | EPG ID da lista: 'StudioUniversalLatinAmerica.us@Brazil'
  • Nome na API: 'Studio Universal' | Normalizado: 'STUDIO UNIVERSAL' | EPG ID da lista: 'StudioUniversalLatinAmerica.us@Brazil'
  • Nome na API: 'Studio Universal' | Normalizado: 'STUDIO UNIVERSAL' | EPG ID da lista: 'StudioUniversalLatinAmerica.us@Brazil'
  • Nome na API: 'TNT' | Normalizado: 'TNT' | EPG ID da lista: 'TNTLatinAmerica.us@Brazil'
  • Nome na API: 'TNT' | Normalizado: 'TNT' | EPG ID da lista: 'TNTLatinAmerica.us@Brazil'
  • Nome na API: 'TNT' | Normalizado: 'TNT' | EPG ID da lista: 'TNTLatinAmerica.us@Brazil'
  • Nome na API: 'TNT' | Normalizado: 'TNT' | EPG ID da lista: 'TNTLatinAmerica.us@Brazil'
  • Nome na API: 'TNT' | Normalizado: 'TNT' | EPG ID da lista: 'TNTLatinAmerica.us@Brazil'
  • Nome na API: 'TNT Series' | Normalizado: 'TNT SERIES' | EPG ID da lista: 'TNTSeriesLatinAmerica.us@Brazil'
  • Nome na API: 'TNT Series' | Normalizado: 'TNT SERIES' | EPG ID da lista: 'TNTSeriesLatinAmerica.us@Brazil'
  • Nome na API: 'TNT Series' | Normalizado: 'TNT SERIES' | EPG ID da lista: 'TNTSeriesLatinAmerica.us@Brazil'
  • Nome na API: 'TNT Series' | Normalizado: 'TNT SERIES' | EPG ID da lista: 'TNTSeriesLatinAmerica.us@Brazil'
  • Nome na API: 'Tcm' | Normalizado: 'TCM' | EPG ID da lista: 'TCMLatinAmerica.us@Brazil'
  • Nome na API: 'Tcm' | Normalizado: 'TCM' | EPG ID da lista: 'TCMLatinAmerica.us@Brazil'
  • Nome na API: 'USA' | Normalizado: 'USA' | EPG ID da lista: 'São.Paulo/SP..PREMIERE.HD.4.³.br'
  • Nome na API: 'USA' | Normalizado: 'USA' | EPG ID da lista: 'São.Paulo/SP..PREMIERE.HD.4.³.br'
  • Nome na API: 'USA' | Normalizado: 'USA' | EPG ID da lista: 'São.Paulo/SP..Multishow.HD.³.br'
  • Nome na API: 'USA' | Normalizado: 'USA' | EPG ID da lista: 'São.Paulo/SP..Multishow.HD.³.br'
  • Nome na API: 'Universal' | Normalizado: 'UNIVERSAL' | EPG ID da lista: 'UniversalTVLatinAmerica.us@Brazil'
  • Nome na API: 'Universal Premium' | Normalizado: 'UNIVERSAL PREMIUM' | EPG ID da lista: 'UniversalTVLatinAmerica.us@Brazil'
  • Nome na API: 'Universal Tv' | Normalizado: 'UNIVERSAL TV' | EPG ID da lista: 'UniversalTVLatinAmerica.us@Brazil'
  • Nome na API: 'Universal Tv' | Normalizado: 'UNIVERSAL TV' | EPG ID da lista: 'UniversalTVLatinAmerica.us@Brazil'
  • Nome na API: 'Universal Tv' | Normalizado: 'UNIVERSAL TV' | EPG ID da lista: 'UniversalTVLatinAmerica.us@Brazil'
  • Nome na API: 'Universal Tv' | Normalizado: 'UNIVERSAL TV' | EPG ID da lista: 'UniversalTVLatinAmerica.us@Brazil'
  • Nome na API: 'Warner' | Normalizado: 'WARNER' | EPG ID da lista: 'WarnerChannel.us@Brazil'
  • Nome na API: 'Warner' | Normalizado: 'WARNER' | EPG ID da lista: 'WarnerChannel.us@Brazil'
  • Nome na API: 'Warner' | Normalizado: 'WARNER' | EPG ID da lista: 'WarnerChannel.us@Brazil'
  • Nome na API: 'Warner' | Normalizado: 'WARNER' | EPG ID da lista: 'WarnerChannel.us@Brazil'

======================================================
CATEGORIA XTREAM: TELECINE (Total: 27 canais)
======================================================
  • Nome na API: 'Tc Action' | Normalizado: 'TC ACTION' | EPG ID da lista: 'TelecineAction.br@SD'
  • Nome na API: 'Tc Action' | Normalizado: 'TC ACTION' | EPG ID da lista: 'TelecineAction.br@SD'
  • Nome na API: 'Tc Action' | Normalizado: 'TC ACTION' | EPG ID da lista: 'TelecineAction.br@SD'
  • Nome na API: 'Tc Action' | Normalizado: 'TC ACTION' | EPG ID da lista: 'TelecineAction.br@SD'
  • Nome na API: 'Tc Action' | Normalizado: 'TC ACTION' | EPG ID da lista: 'TelecineAction.br@SD'
  • Nome na API: 'Tc Cult' | Normalizado: 'TC CULT' | EPG ID da lista: 'TelecineCult.br@SD'
  • Nome na API: 'Tc Cult' | Normalizado: 'TC CULT' | EPG ID da lista: 'TelecineCult.br@SD'
  • Nome na API: 'Tc Cult' | Normalizado: 'TC CULT' | EPG ID da lista: 'TelecineCult.br@SD'
  • Nome na API: 'Tc Cult' | Normalizado: 'TC CULT' | EPG ID da lista: 'TelecineCult.br@SD'
  • Nome na API: 'Tc Fun' | Normalizado: 'TC FUN' | EPG ID da lista: 'TelecineFun.br@SD'
  • Nome na API: 'Tc Fun' | Normalizado: 'TC FUN' | EPG ID da lista: 'TelecineFun.br@SD'
  • Nome na API: 'Tc Fun' | Normalizado: 'TC FUN' | EPG ID da lista: 'TelecineFun.br@SD'
  • Nome na API: 'Tc Fun' | Normalizado: 'TC FUN' | EPG ID da lista: 'TelecineFun.br@SD'
  • Nome na API: 'Tc Pipoca' | Normalizado: 'TC PIPOCA' | EPG ID da lista: 'TelecinePipoca.br@SD'
  • Nome na API: 'Tc Pipoca' | Normalizado: 'TC PIPOCA' | EPG ID da lista: 'TelecinePipoca.br@SD'
  • Nome na API: 'Tc Pipoca' | Normalizado: 'TC PIPOCA' | EPG ID da lista: 'TelecinePipoca.br@SD'
  • Nome na API: 'Tc Pipoca' | Normalizado: 'TC PIPOCA' | EPG ID da lista: 'TelecinePipoca.br@SD'
  • Nome na API: 'Tc Pipoca' | Normalizado: 'TC PIPOCA' | EPG ID da lista: 'TelecinePipoca.br@SD'
  • Nome na API: 'Tc Premium' | Normalizado: 'TC PREMIUM' | EPG ID da lista: 'TelecinePremium.br@SD'
  • Nome na API: 'Tc Premium' | Normalizado: 'TC PREMIUM' | EPG ID da lista: 'TelecinePremium.br@SD'
  • Nome na API: 'Tc Premium' | Normalizado: 'TC PREMIUM' | EPG ID da lista: 'TelecinePremium.br@SD'
  • Nome na API: 'Tc Premium' | Normalizado: 'TC PREMIUM' | EPG ID da lista: 'TelecinePremium.br@SD'
  • Nome na API: 'Tc Premium' | Normalizado: 'TC PREMIUM' | EPG ID da lista: 'TelecinePremium.br@SD'
  • Nome na API: 'Tc Touch' | Normalizado: 'TC TOUCH' | EPG ID da lista: 'TelecineTouch.br@SD'
  • Nome na API: 'Tc Touch' | Normalizado: 'TC TOUCH' | EPG ID da lista: 'TelecineTouch.br@SD'
  • Nome na API: 'Tc Touch' | Normalizado: 'TC TOUCH' | EPG ID da lista: 'TelecineTouch.br@SD'
  • Nome na API: 'Tc Touch' | Normalizado: 'TC TOUCH' | EPG ID da lista: 'TelecineTouch.br@SD'

======================================================
CATEGORIA XTREAM: HBO (Total: 33 canais)
======================================================
  • Nome na API: 'HBO' | Normalizado: 'HBO' | EPG ID da lista: 'HBO.br@SD'
  • Nome na API: 'HBO' | Normalizado: 'HBO' | EPG ID da lista: 'HBO.br@SD'
  • Nome na API: 'HBO' | Normalizado: 'HBO' | EPG ID da lista: 'HBO.br@SD'
  • Nome na API: 'HBO' | Normalizado: 'HBO' | EPG ID da lista: 'HBO.br@SD'
  • Nome na API: 'HBO 2' | Normalizado: 'HBO 2' | EPG ID da lista: 'HBO2.br@SD'
  • Nome na API: 'HBO 2' | Normalizado: 'HBO 2' | EPG ID da lista: 'HBO2.br@SD'
  • Nome na API: 'HBO 2' | Normalizado: 'HBO 2' | EPG ID da lista: 'HBO2.br@SD'
  • Nome na API: 'HBO 2' | Normalizado: 'HBO 2' | EPG ID da lista: 'HBO2.br@SD'
  • Nome na API: 'HBO Family' | Normalizado: 'HBO FAMILY' | EPG ID da lista: 'HBOFamily.br@SD'
  • Nome na API: 'HBO Family' | Normalizado: 'HBO FAMILY' | EPG ID da lista: 'HBOFamily.br@SD'
  • Nome na API: 'HBO Family' | Normalizado: 'HBO FAMILY' | EPG ID da lista: 'HBOFamily.br@SD'
  • Nome na API: 'HBO Family' | Normalizado: 'HBO FAMILY' | EPG ID da lista: 'HBOFamily.br@SD'
  • Nome na API: 'HBO Mundi' | Normalizado: 'HBO MUNDI' | EPG ID da lista: 'br#max'
  • Nome na API: 'HBO Mundi' | Normalizado: 'HBO MUNDI' | EPG ID da lista: 'br#max'
  • Nome na API: 'HBO Mundi' | Normalizado: 'HBO MUNDI' | EPG ID da lista: 'br#max'
  • Nome na API: 'HBO Mundi' | Normalizado: 'HBO MUNDI' | EPG ID da lista: 'br#max'
  • Nome na API: 'HBO Plus' | Normalizado: 'HBO PLUS' | EPG ID da lista: 'br#hbo-plus'
  • Nome na API: 'HBO Plus' | Normalizado: 'HBO PLUS' | EPG ID da lista: 'br#hbo-plus'
  • Nome na API: 'HBO Plus' | Normalizado: 'HBO PLUS' | EPG ID da lista: 'br#hbo-plus'
  • Nome na API: 'HBO Plus' | Normalizado: 'HBO PLUS' | EPG ID da lista: 'br#hbo-plus'
  • Nome na API: 'HBO Pop' | Normalizado: 'HBO POP' | EPG ID da lista: 'HBOPop.br@SD'
  • Nome na API: 'HBO Pop' | Normalizado: 'HBO POP' | EPG ID da lista: 'HBOPop.br@SD'
  • Nome na API: 'HBO Pop' | Normalizado: 'HBO POP' | EPG ID da lista: 'HBOPop.br@SD'
  • Nome na API: 'HBO Pop' | Normalizado: 'HBO POP' | EPG ID da lista: 'HBOPop.br@SD'
  • Nome na API: 'HBO Signature' | Normalizado: 'HBO SIGNATURE' | EPG ID da lista: 'HBOSignature.br@SD'
  • Nome na API: 'HBO Signature' | Normalizado: 'HBO SIGNATURE' | EPG ID da lista: 'HBOSignature.br@SD'
  • Nome na API: 'HBO Signature' | Normalizado: 'HBO SIGNATURE' | EPG ID da lista: 'HBOSignature.br@SD'
  • Nome na API: 'HBO Signature' | Normalizado: 'HBO SIGNATURE' | EPG ID da lista: 'HBOSignature.br@SD'
  • Nome na API: 'HBO Xtreme' | Normalizado: 'HBO XTREME' | EPG ID da lista: 'br#max-prime'
  • Nome na API: 'HBO Xtreme' | Normalizado: 'HBO XTREME' | EPG ID da lista: 'br#max-prime'
  • Nome na API: 'HBO Xtreme' | Normalizado: 'HBO XTREME' | EPG ID da lista: 'br#max-prime'
  • Nome na API: 'HBO Xtreme' | Normalizado: 'HBO XTREME' | EPG ID da lista: 'br#max-prime'
  • Nome na API: 'HBO Xtreme' | Normalizado: 'HBO XTREME' | EPG ID da lista: 'br#max-prime'

======================================================
CATEGORIA XTREAM: PREMIERES (Total: 36 canais)
======================================================
  • Nome na API: 'Pfc 2' | Normalizado: 'PFC 2' | EPG ID da lista: 'br#premiere-2'
  • Nome na API: 'Pfc 2' | Normalizado: 'PFC 2' | EPG ID da lista: 'br#premiere-2'
  • Nome na API: 'Pfc 2' | Normalizado: 'PFC 2' | EPG ID da lista: 'br#premiere-2'
  • Nome na API: 'Pfc 2' | Normalizado: 'PFC 2' | EPG ID da lista: 'br#premiere-2'
  • Nome na API: 'Pfc 3' | Normalizado: 'PFC 3' | EPG ID da lista: 'br#premiere-3'
  • Nome na API: 'Pfc 3' | Normalizado: 'PFC 3' | EPG ID da lista: 'br#premiere-3'
  • Nome na API: 'Pfc 3' | Normalizado: 'PFC 3' | EPG ID da lista: 'br#premiere-3'
  • Nome na API: 'Pfc 3' | Normalizado: 'PFC 3' | EPG ID da lista: 'br#premiere-3'
  • Nome na API: 'Pfc 4' | Normalizado: 'PFC 4' | EPG ID da lista: 'br#premiere-4'
  • Nome na API: 'Pfc 4' | Normalizado: 'PFC 4' | EPG ID da lista: 'br#premiere-4'
  • Nome na API: 'Pfc 4' | Normalizado: 'PFC 4' | EPG ID da lista: 'br#premiere-4'
  • Nome na API: 'Pfc 4' | Normalizado: 'PFC 4' | EPG ID da lista: 'br#premiere-4'
  • Nome na API: 'Pfc 5' | Normalizado: 'PFC 5' | EPG ID da lista: 'br#premiere-5-brazil'
  • Nome na API: 'Pfc 5' | Normalizado: 'PFC 5' | EPG ID da lista: 'br#premiere-5-brazil'
  • Nome na API: 'Pfc 5' | Normalizado: 'PFC 5' | EPG ID da lista: 'br#premiere-5-brazil'
  • Nome na API: 'Pfc 5' | Normalizado: 'PFC 5' | EPG ID da lista: 'br#premiere-5-brazil'
  • Nome na API: 'Pfc 6' | Normalizado: 'PFC 6' | EPG ID da lista: 'br#premiere-6'
  • Nome na API: 'Pfc 6' | Normalizado: 'PFC 6' | EPG ID da lista: 'br#premiere-6'
  • Nome na API: 'Pfc 6' | Normalizado: 'PFC 6' | EPG ID da lista: 'br#premiere-6'
  • Nome na API: 'Pfc 6' | Normalizado: 'PFC 6' | EPG ID da lista: 'br#premiere-6'
  • Nome na API: 'Pfc 7' | Normalizado: 'PFC 7' | EPG ID da lista: 'br#premiere-7'
  • Nome na API: 'Pfc 7' | Normalizado: 'PFC 7' | EPG ID da lista: 'br#premiere-7'
  • Nome na API: 'Pfc 7' | Normalizado: 'PFC 7' | EPG ID da lista: 'br#premiere-7'
